Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length,Characters,Words,Corpus Name,Sentences,Type
0.00036,0.0043,0.00088,0.00066,0.00002,0.00051,0.00021,0.0006,0,0.00002,0,0.00017,0.00002,0.00203,0.00051,0.00396,0.00004,0.00039,0.00021,0.60837,34.3431,0.00024,0.00058,0.01251,0,200.18045,"53,248","8,202",Ammianus Rerum Gestarum Part 14,266,Prose
0.00042,0.00405,0.00049,0.0008,0,0.00056,0.00042,0.00036,0,0.00007,0,0.00027,0,0.00234,0.00033,0.00365,0,0.00053,0.00004,0.48374,35.01695,0.00036,0.0004,0.01188,0,182.6626,"44,935","6,842",Ammianus Rerum Gestarum Part 15,246,Prose
0.00034,0.00362,0.0008,0.00099,0.00004,0.0005,0.0004,0.00028,0,0.00004,0,0.0002,0.00002,0.00191,0.00046,0.0035,0.00008,0.00052,0.00004,0.54393,34.51111,0.00046,0.00058,0.01259,0.00002,204.59259,"49,716","7,645",Ammianus Rerum Gestarum Part 16,243,Prose
0.00054,0.00331,0.00039,0.0008,0,0.00043,0.00035,0.00035,0,0.00004,0,0.00026,0,0.00201,0.0005,0.00292,0.00004,0.00045,0.00009,0.5259,32.19192,0.00037,0.00039,0.01307,0,182.70356,"46,224","7,126",Ammianus Rerum Gestarum Part 17,253,Prose
0.00076,0.00337,0.00049,0.00049,0,0.00033,0.00036,0.00036,0,0,0,0.00055,0.00006,0.00167,0.00036,0.00376,0.00012,0.001,0.00006,0.56757,31.54198,0.00045,0.0007,0.01243,0,217,"32,984","5,035",Ammianus Rerum Gestarum Part 18,152,Prose
0.00048,0.00228,0.00058,0.00029,0,0.00077,0.00029,0.00024,0.00003,0.00005,0.00003,0.00035,0,0.00188,0.00024,0.00372,0,0.0005,0.00003,0.53488,35.62667,0.00016,0.00042,0.01197,0,219.02907,"37,673","5,698",Ammianus Rerum Gestarum Part 19,172,Prose
0.00045,0.00323,0.0004,0.00054,0,0.0004,0.00035,0.00042,0,0.00005,0,0.00028,0,0.00165,0.0004,0.00294,0,0.00061,0.00012,0.57207,31.45161,0.00019,0.00087,0.01321,0,191.26126,"42,460","6,478",Ammianus Rerum Gestarum Part 20,222,Prose
0.00041,0.00412,0.00054,0.00089,0,0.00063,0.0003,0.00028,0,0.00009,0,0.0003,0.00009,0.00222,0.00052,0.00361,0.00004,0.00058,0.00004,0.52846,31.8607,0.0006,0.00063,0.01382,0,186.77419,"46,320","7,095",Ammianus Rerum Gestarum Part 21,248,Prose
0.00031,0.00409,0.00065,0.00058,0,0.00063,0.00044,0.00051,0,0.00003,0,0.00019,0.00007,0.00169,0.00035,0.00409,0.00005,0.00054,0.00005,0.63636,36.83448,0.00047,0.00045,0.0138,0.00005,190.82667,"57,248","8,902",Ammianus Rerum Gestarum Part 22,300,Prose
0.00037,0.00436,0.00041,0.00046,0,0.00064,0.00057,0.00046,0,0.00009,0,0.00011,0,0.00178,0.00043,0.00423,0,0.00101,0.00011,0.5618,36.36967,0.00023,0.00034,0.01563,0,163.90262,"43,762","6,841",Ammianus Rerum Gestarum Part 23,267,Prose
0.00045,0.00242,0.00042,0.00076,0.00003,0.00068,0.00055,0.00018,0,0.00003,0,0.00024,0.00003,0.00152,0.00026,0.0031,0,0.00087,0.00008,0.53623,33.77439,0.00047,0.00071,0.01184,0,183.95169,"38,078","5,788",Ammianus Rerum Gestarum Part 24,207,Prose
0.0005,0.00349,0.00073,0.00052,0.00005,0.0005,0.00039,0.0002,0,0.00005,0,0.00041,0,0.00206,0.0005,0.00356,0.00005,0.00061,0.00009,0.56652,31.62827,0.00032,0.00061,0.0128,0.00002,187.54894,"44,074","6,803",Ammianus Rerum Gestarum Part 25,235,Prose
0.00019,0.00336,0.00081,0.00074,0,0.00043,0.00036,0.0005,0,0.00002,0.00002,0.00019,0.00002,0.002,0.00045,0.00324,0,0.00081,0.00017,0.55208,30.44311,0.0005,0.00036,0.01166,0,217.27979,"41,935","6,328",Ammianus Rerum Gestarum Part 26,193,Prose
0.00041,0.00382,0.00044,0.00078,0,0.00051,0.00039,0.00051,0,0.0001,0,0.00022,0,0.00183,0.00046,0.00409,0.00007,0.00071,0.00002,0.62085,32.79688,0.00051,0.00054,0.01248,0,192.01402,"41,091","6,276",Ammianus Rerum Gestarum Part 27,214,Prose
0.00013,0.00443,0.00097,0.00088,0,0.0006,0.00047,0.00047,0,0.00006,0,0.00028,0.00004,0.00277,0.00056,0.0037,0.00004,0.00056,0.00011,0.5679,34.54974,0.00045,0.00058,0.01239,0,189.77143,"46,494","7,155",Ammianus Rerum Gestarum Part 28,245,Prose
0.00016,0.00347,0.00067,0.00069,0.00002,0.00048,0.00071,0.0004,0,0.00002,0,0.00028,0.00002,0.0019,0.00046,0.00365,0.00006,0.00053,0.00012,0.69869,31.88843,0.00042,0.00052,0.01115,0.00002,218.52381,"50,479","7,660",Ammianus Rerum Gestarum Part 29,231,Prose
0.00028,0.00464,0.00061,0.00079,0,0.00046,0.00061,0.00035,0,0.00003,0,0.00015,0,0.00238,0.00068,0.00342,0,0.00051,0.00018,0.66667,32,0.00038,0.00066,0.01206,0,222.9096,"39,455","6,059",Ammianus Rerum Gestarum Part 30,177,Prose
0.00013,0.00299,0.00045,0.00065,0,0.00054,0.00046,0.00053,0,0.00002,0,0.00027,0,0.00167,0.0003,0.00344,0,0.00037,0.00013,0.50909,34.15261,0.00032,0.00027,0.01369,0,190.37576,"62,824","9,565",Ammianus Rerum Gestarum Part 31,330,Prose
0.00462,0.00111,0,0.00074,0,0,0.00018,0.00018,0,0,0,0,0,0.00129,0.00055,0.00129,0.00111,0,0.00018,0.42424,49.6087,0.00074,0.00055,0.01366,0,132.12195,"5,417",910,Anonymous Laudes Domini,41,Verse
0.00483,0.00585,0.00036,0.00091,0.00075,0.00047,0.00079,0.00047,0.00007,0.00002,0,0.0001,0.00019,0.00191,0.00194,0.00384,0.0018,0.00095,0.00003,0.56982,35.02122,0.00059,0.00046,0.01318,0.00006,133.17742,"123,855","21,545",Apuleius Apologia,930,Prose
0.00316,0.00533,0.00034,0.00093,0.0003,0.00055,0.00057,0.0004,0.00008,0,0,0.00015,0.00032,0.00135,0.0011,0.00304,0.00051,0.0012,0.00004,0.55556,34.63095,0.00055,0.00038,0.01507,0.00004,171.87681,"47,438","7,885",Apuleius Florida,276,Prose
0.00584,0.00575,0.00026,0.00047,0.00103,0.00043,0.0009,0.00017,0.00004,0,0,0.00047,0.00009,0.00142,0.00047,0.00206,0.00176,0.00051,0.00017,0.39695,35.75294,0.00009,0.00009,0.01716,0.00004,135.50581,"23,307","3,998",Apuleius Metamorphoses Part 1,172,Prose
